PIXEL,LATITUDE,LONGITUDE
274,41.33934969,-74.32923448
275,41.33649019,-74.31730077
276,41.3336294,-74.30536815
277,41.33076733,-74.29343662
278,41.32790398,-74.28150617
279,41.32503934,-74.2695768
280,41.32217342,-74.25764853
281,41.31930622,-74.24572134
282,41.31643774,-74.23379524
283,41.31356798,-74.22187023
284,41.31069693,-74.20994631
285,41.30782461,-74.19802347
286,41.304951,-74.18610173
287,41.30207611,-74.17418107
288,41.29919994,-74.1622615
289,41.29632249,-74.15034303
290,41.29344376,-74.13842564
291,41.29056375,-74.12650935
292,41.28768246,-74.11459414
293,41.28479989,-74.10268003
294,41.28191604,-74.09076701
295,41.27903091,-74.07885508
296,41.2761445,-74.06694425
297,41.27325681,-74.0550345
298,41.27036784,-74.04312586
299,41.2674776,-74.0312183
300,41.26458607,-74.01931184
301,41.26169327,-74.00740647
302,41.25879919,-73.9955022
303,41.25590383,-73.98359902
304,41.25300719,-73.97169693
305,41.25010927,-73.95979595
306,41.24721008,-73.94789606
307,41.24430961,-73.93599726
308,41.24140786,-73.92409956
309,41.23850484,-73.91220296
310,41.23560054,-73.90030745
311,41.23269496,-73.88841305
312,41.22978811,-73.87651974
313,41.22687998,-73.86462752
314,41.22397058,-73.85273641
315,41.2210599,-73.8408464
316,41.21814794,-73.82895748
317,41.21523471,-73.81706967
318,41.35602923,-74.44046557
319,41.3531817,-74.42852364
320,41.35033289,-74.4165828
321,41.34748279,-74.40464304
322,41.34463141,-74.39270436
323,41.34177874,-74.38076677
324,41.33892479,-74.36883026
325,41.33606956,-74.35689483
326,41.33321304,-74.34496049
327,41.33035524,-74.33302723
328,41.32749615,-74.32109506
329,41.32463579,-74.30916397
330,41.32177414,-74.29723397
331,41.31891121,-74.28530505
332,41.31604699,-74.27337722
333,41.3131815,-74.26145048
334,41.31031472,-74.24952482
335,41.30744666,-74.23760025
336,41.30457732,-74.22567677
337,41.30170669,-74.21375438
338,41.29883479,-74.20183307
339,41.2959616,-74.18991286
340,41.29308714,-74.17799373
341,41.29021139,-74.16607569
342,41.28733436,-74.15415874
343,41.28445606,-74.14224289
344,41.28157647,-74.13032812
345,41.2786956,-74.11841444
346,41.27581345,-74.10650186
347,41.27293002,-74.09459036
348,41.27004532,-74.08267996
349,41.26715933,-74.07077065
350,41.26427207,-74.05886243
351,41.26138352,-74.04695531
352,41.2584937,-74.03504927
353,41.2556026,-74.02314434
354,41.25271022,-74.01124049
355,41.24981657,-73.99933774
356,41.24692163,-73.98743608
357,41.24402542,-73.97553552
358,41.24112793,-73.96363606
359,41.23822916,-73.95173768
360,41.23532912,-73.93984041
361,41.2324278,-73.92794423
362,41.2295252,-73.91604915
363,41.22662133,-73.90415516
364,41.22371618,-73.89226227
365,41.22080975,-73.88037048
366,41.21790205,-73.86847979
367,41.21499307,-73.85659019
368,41.21208282,-73.84470169
369,41.20917129,-73.83281429
370,41.20625848,-73.82092799
371,41.34703091,-74.4442434
372,41.3441838,-74.43230302
373,41.3413354,-74.42036371
374,41.33848572,-74.40842549
375,41.33563476,-74.39648835
376,41.33278251,-74.38455229
